,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
320003564,male,26,sender,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
119009326,female,27,reciever,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,5
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
,,,,3
822009921,Male,35,Sender,4
,,,,4
,,,,4
,,,,4
,Female,27,Receiver,4
,,,Receiver,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
,,,,4
