12:51:07.569062
Input_Time,Input_Value,Output_Time,Output_Value
12:11:14.532323,95,12:11:17.890812,493.7
12:11:47.904621,95,12:11:51.262979,444.4
12:12:18.201217,95,12:12:21.559497,382.1
12:12:46.449791,96,12:12:49.804003,603.3
12:13:49.840253,96,12:13:53.194678,510.0
12:14:46.050757,96,12:14:49.408948,463.7
12:15:55.220366,97,12:15:58.578910,683.4
12:16:26.172230,97,12:16:29.526681,634.3
12:17:09.800310,97,12:17:13.155005,639.4
12:31:57.331211
Input_Time,Input_Value,Output_Time,Output_Value
12:32:11.753816,97,12:32:15.112176,887.4
12:35:10.829432,98,12:35:14.187965,899.0
12:35:43.182006,98,12:35:46.536422,585.8
12:36:00.523399,98,12:36:03.877529,777.0
12:36:24.483820,98,12:36:27.842341,811.8
12:36:40.055800,99,12:36:43.410326,955.9
12:36:53.203425,99,12:36:56.557894,949.1
12:37:10.544713,100,12:37:13.899508,1089.1
12:37:32.174929,100,12:37:35.533378,1083.9
12:37:51.383776,100,12:37:54.738508,1053.2
12:38:07.791785,102,12:38:11.149928,1290.2
12:38:27.934810,102,12:38:31.289291,1284.8
12:38:56.093319,103,12:38:59.451842,1376.9
12:39:12.037898,103,12:39:15.396692,1427.1
12:39:27.049187,104,12:39:30.407754,1481.1
12:39:44.394885,104,12:39:47.749357,1506.4
12:39:59.405768,105,12:40:02.764092,1531.5
12:40:15.350668,105,12:40:18.709185,1587.0
12:40:46.400896,105,12:40:49.759292,1607.4
12:41:01.878579,105,12:41:05.237505,1604.8
12:41:19.224330,105,12:41:22.578931,1612.2
13:45:11.543099
Input_Time,Input_Value,Output_Time,Output_Value
13:46:02.772014,95,13:46:06.130660,196.9
13:46:53.670384,95,13:46:57.028854,201.9
13:47:33.386830,95,13:47:36.741532,220.6
13:47:53.522053,95,13:47:56.876513,172.8
13:48:08.529016,95,13:48:11.887300,164.8
13:48:24.006918,95,13:48:27.361285,183.9
13:48:39.947621,96,13:48:43.301920,319.2
13:48:54.954298,96,13:48:58.313056,247.4
13:49:09.498762,96,13:49:12.857013,273.6
13:49:25.439534,96,13:49:28.798030267.3
13:49:39.516660,97,13:49:42.874998,404.0
13:49:53.126808,97,13:49:56.485656,411.1
13:50:11.213968,97,13:50:14.568325,396.3
13:50:35.079932,97,13:50:38.434442,428.2
13:50:52.417606,97,13:50:55.776200,370.2
13:51:02.300686,98,13:51:05.659173,496.7
13:51:16.844820,98,13:51:20.203263,472.8
13:51:32.322866,98,13:51:35.677009,488.8
13:51:48.730291,98,13:51:52.085034,450.3
13:52:17.257599,99,13:52:20.611989,631.6
13:52:28.070404,99,13:52:31.429002,674.8
13:52:41.680795,99,13:52:45.039416,607.1
13:52:55.761718,99,13:52:59.116472,643.5
13:53:12.632714,100,13:53:15.990954,782.7
13:53:24.379306,100,13:53:27.737774,748.4
13:53:58.501313,100,13:54:01.859871,822.4
13:54:14.446167,101,13:54:17.800370,942.2
13:54:30.382789,101,13:54:33.741262,842.6
13:54:41.195646,101,13:54:44.554027,957.8
13:54:59.004024,102,13:55:02.358701,1055.5
13:55:08.882971,102,13:55:12.241566,1070.9
13:55:20.167027,102,13:55:23.521229,1066.9
13:55:35.640861,103,13:55:38.999200,1205.7
13:55:51.581884,103,13:55:54.940109,1223.5
13:56:01.931726,103,13:56:05.286319,1214.0
13:56:17.872580,104,13:56:21.230799,1318.3
13:56:35.681006,105,13:56:39.035396,1339.0
13:57:18.191167,105,13:57:21.545545,1340.1
13:57:27.140280,105,13:57:30.494668,1331.7
13:57:40.750420,105,13:57:44.105099,1371.0
13:57:56.691364,105,13:58:00.049646,1373.2
13:58:11.702320,106,13:58:15.056935,1391.1
13:58:26.709136,106,13:58:30.067764,1381.0
13:58:41.720163,106,13:58:45.074817,1385.0
13:58:56.264531,107,13:58:59.619108,1402.7
13:59:11.738151,107,13:59:15.096850,1403.9
13:59:28.146208,107,13:59:31.500584,1331.8
13:59:40.359625,108,13:59:43.714117,1385.9
13:59:59.560701,108,14:00:02.918986,1411.1
14:00:13.175075,109,14:00:16.529647,1428.4
14:00:30.045499,109,14:00:33.404066,1446.8
14:00:45.990721,109,14:00:49.344979,1451.4
14:01:00.530488,110,14:01:03.889019,1491.6
14:01:15.074359,110,14:01:18.433141,1500.7
14:01:28.689067,110,14:01:32.043190,1514.0
14:01:45.563552,111,14:01:48.917820,1532.9
14:02:07.189067,111,14:02:10.547591,1576.4
