Media Time,Sympathetic,Fear,Loving,Anger,Disgust,Surprise,Other
1.7602471336722374,0,0,0,0,0,1,None
2.3428799654357135,0,0,0,0,0,1,None
2.758407676126808,1,0,0,0,0,0,None
3.294602282345295,1,0,0,0,0,0,None
3.420320313423872,0,1,0,0,0,0,None
3.7065058145672083,1,0,0,0,0,0,None
4.252067106310278,1,0,0,0,0,0,None
4.531496075447649,1,0,0,0,0,0,None
5.098957477603108,1,0,0,0,0,0,None
5.4958350686356425,0,0,0,0,0,1,None
5.931166082620621,1,0,0,0,0,0,None
6.3629636047407985,1,0,0,0,0,0,None
6.778160363435745,1,0,0,0,0,0,None
7.189070608466864,0,0,0,0,0,1,None
7.304751721210778,0,0,0,0,0,1,None
7.814270494971424,1,0,0,0,0,0,None
8.205816914793104,1,0,0,0,0,0,None
8.34280363470316,1,0,0,0,0,0,None
8.519362793769687,1,0,0,0,0,0,None
8.947783643845469,0,0,0,0,0,1,None
9.667679219972342,0,1,0,0,0,0,None
10.121613074094057,0,1,0,0,0,0,None
10.48955241125077,1,0,0,0,0,0,None
10.635009699501097,1,0,0,0,0,0,None
10.814072323497385,1,0,0,0,0,0,None
10.944598789326847,0,0,0,0,0,1,None
11.346353884320706,0,0,0,0,0,1,None
11.724320559296757,0,0,0,0,0,1,None
12.04840848268941,0,0,0,0,0,1,None
12.459228917490691,0,0,0,0,0,1,None
13.066250360570848,0,0,0,0,0,1,None
13.510212051216513,0,0,0,0,0,1,None
14.212371631059796,1,0,0,0,0,0,None
14.929886911064386,1,0,0,0,0,0,None
15.323766541201621,1,0,0,0,0,0,None
15.75516271404922,1,0,0,0,0,0,None
15.934132532216609,1,0,0,0,0,0,None
16.105928459204733,0,1,0,0,0,0,None
16.205697949044406,0,1,0,0,0,0,None
16.63885939307511,0,1,0,0,0,0,None
17.067196208052337,0,1,0,0,0,0,None
17.49706286098808,0,0,0,0,0,1,None
17.61327512189746,0,0,0,0,0,1,None
17.793297030497342,0,0,0,0,0,1,None
17.92662487225607,0,0,0,0,0,1,None
18.34814144531265,1,0,0,0,0,0,None
18.790791550651193,0,0,0,0,0,1,None
19.704143025912344,0,0,0,0,0,1,None
20.132123216986656,0,1,0,0,0,0,None
20.234674538020045,0,1,0,0,0,0,None
20.93399768974632,0,1,0,0,0,0,None
21.318659582640976,1,0,0,0,0,0,None
21.683386117685586,0,0,0,0,0,1,None
22.107032022904605,0,0,0,0,0,1,None
22.203936013858765,0,0,0,0,0,1,None
22.61289263283834,0,0,0,0,0,1,None
23.025778100825846,0,0,0,0,0,1,None
23.439144044648856,0,0,0,0,0,1,None
23.885592134669423,0,0,0,0,0,1,None
24.297493596561253,0,1,0,0,0,0,None
24.459632399957627,0,1,0,0,0,0,None
24.881410423200577,0,1,0,0,0,0,None
25.25870311819017,0,1,0,0,0,0,None
25.659482846967876,0,1,0,0,0,0,None
26.333209400996566,0,1,0,0,0,0,None
26.96982979681343,0,1,0,0,0,0,None
27.351455465890467,0,1,0,0,0,0,None
27.701615010853857,0,1,0,0,0,0,None
28.149239358026534,0,0,0,0,0,1,None
28.740215895231813,0,0,0,0,0,1,None
28.902465228457004,0,1,0,0,0,0,None
29.28556414647028,0,1,0,0,0,0,None
29.456884174607694,0,1,0,0,0,0,None
29.86406753072515,1,0,0,0,0,0,None
30.276496320031583,1,0,0,0,0,0,None
30.722550712060183,1,0,0,0,0,0,None
30.850912023801357,1,0,0,0,0,0,None
31.241453796159476,1,0,0,0,0,0,None
32.59695789124817,0,0,1,0,0,0,None
33.6242921683006,0,0,1,0,0,0,None
34.07490892428905,0,0,1,0,0,0,None
34.17412125412375,0,0,1,0,0,0,None
34.49533798126504,0,0,1,0,0,0,None
34.62191695626825,0,0,1,0,0,0,None
34.741704809013754,0,0,1,0,0,0,None
35.161412296351045,0,0,1,0,0,0,None
36.495280717499554,0,0,1,0,0,0,None
37.20406331028789,0,0,0,0,0,1,None
37.64414686150849,0,0,0,0,0,1,None
37.80003298446536,0,0,0,0,0,1,None
38.938321381341666,0,0,0,0,0,1,None
40.193609504494816,0,1,0,0,0,0,None
40.631484360434115,0,1,0,0,0,0,None
41.02376937447116,0,1,0,0,0,0,None
41.15694584045559,0,1,0,0,0,0,None
41.283765769563615,0,1,0,0,0,0,None
41.87205061968416,0,0,0,0,0,1,None
42.31575621897355,0,0,0,0,0,1,None
42.96659566601738,1,0,0,0,0,0,None
