Media Time,Sympathetic,Fear,Loving,Anger,Disgust,Surprise,Other
1.7774813030846417,0,0,0,0,0,1,None
2.1918951142579317,0,0,0,0,0,0,same
2.7754885042086244,0,0,0,0,0,0,same
3.277616926468909,0,0,0,0,0,0,joy
3.398042591288686,0,0,0,0,0,0,same
3.706505680922419,0,0,0,0,0,0,same
4.7271903939545155,1,0,0,0,0,0,None
4.89769141189754,0,0,0,0,0,0,joy
5.286944253835827,0,0,0,0,0,0,same
5.710049361456186,0,0,0,0,0,0,same
6.1119951591826975,0,0,0,0,0,0,same
6.52812508912757,0,0,0,0,0,0,happy
6.898622379172593,0,0,0,0,0,0,same
7.266443529166281,0,0,0,0,0,0,same
7.385923521127552,0,0,0,0,0,0,happy
7.813716338481754,0,0,0,0,0,0,same
8.229712129570544,0,0,0,0,0,0,same
8.362876632716507,0,0,0,0,0,0,same
8.532384017948061,0,0,0,0,0,0,same
8.992976827081293,0,0,0,0,0,0,same
9.709959920030087,0,0,0,0,0,1,None
10.135081070940942,0,0,0,0,0,0,same
10.5137995230034,0,0,0,0,0,0,same
10.611678407061845,0,0,0,0,0,0,happy
10.72843087092042,0,0,0,0,0,0,same
10.87440307252109,0,0,0,0,0,0,same
11.438859705347568,0,0,0,0,0,0,same
11.85275338217616,0,0,0,0,0,0,same
12.107629453297704,0,0,0,0,0,0,same
12.466239789966494,0,0,0,0,0,0,same
13.076055090874434,0,0,0,0,0,1,None
13.515217196196318,0,0,0,0,0,1,None
14.207363737281412,0,0,0,0,0,1,None
14.854004653170705,0,0,0,0,0,1,None
15.276716687250882,0,0,0,0,0,1,None
15.695644420105964,0,0,0,0,0,1,None
15.799080558121204,0,0,0,0,0,1,None
15.9114331449382,0,0,0,0,0,0,joy
16.090576792135835,0,0,0,0,0,0,joy
16.458661422133446,0,0,0,0,0,0,revelry
16.849140112753958,0,0,0,0,0,0,same
17.27076289942488,0,0,0,0,0,0,same
17.409882052335888,0,0,0,0,0,0,same
17.541168415453285,0,0,0,0,0,0,same
17.780101409181952,0,0,0,0,0,0,same
18.16424936801195,0,0,0,0,0,0,same
18.600419075228274,0,0,0,0,0,0,same
19.510463996324688,0,0,0,0,0,0,happy
19.906211883295327,0,0,0,0,0,0,revelry
20.075535694137216,0,0,0,0,0,0,same
20.73516568914056,0,0,0,0,0,0,same
21.186289728153497,0,0,0,0,0,0,same
21.617381918244064,0,0,0,0,0,0,same
22.038295675069094,0,0,0,0,0,0,same
22.17257049679756,0,0,0,0,0,0,same
22.591500599868596,0,0,0,0,0,0,same
23.00887291273102,0,0,0,0,0,0,same
23.423733336851,0,0,0,0,0,0,same
23.82623954489827,0,0,0,0,0,0,same
24.194145285058767,0,0,0,0,0,0,revelry
24.312257908284664,0,0,0,0,0,0,same
24.729016110301018,0,0,0,0,0,0,same
25.12375175394118,0,0,0,0,0,0,same
25.56309106433764,0,0,0,0,0,0,same
26.35454802121967,0,0,0,0,0,1,None
27.045961807016283,0,0,0,0,0,0,revelry
27.45595025829971,0,0,0,0,0,0,same
27.597337995190173,0,0,0,0,0,0,same
27.992790275253356,0,0,0,0,0,0,same
28.098765986505896,0,0,0,0,0,0,same
28.27524658292532,0,0,0,0,0,0,same
28.652906351722777,0,0,0,0,0,0,same
28.83886027894914,0,0,0,0,0,1,None
29.28060954902321,0,0,0,0,0,0,same
29.680517308879644,0,0,0,0,0,1,None
30.04792269691825,0,0,0,0,0,0,same
30.198391537647694,0,0,0,0,0,0,revelry
30.765285797417164,0,0,0,0,0,0,same
31.190461316145957,0,0,0,0,0,0,same
31.58874341007322,0,0,0,0,0,0,same
32.002401967998594,0,0,0,0,0,0,None
32.12845487287268,0,0,0,0,0,0,same
32.302526181098074,0,0,0,0,0,0,same
32.46767136314884,0,0,0,0,0,0,v
32.87233195686713,0,0,0,0,0,0,same
33.45116165699437,0,0,0,0,0,0,same
33.94007864780724,0,0,0,0,0,0,same
34.622223674785346,0,0,0,0,0,0,same
35.02181991562247,0,0,0,0,0,0,same
35.149662179872394,0,0,0,0,0,0,revelry
35.561114272568375,0,0,0,0,0,0,same
36.006449391599745,0,0,0,0,0,0,same
36.39569687983021,0,0,0,0,0,0,same
36.76263885991648,0,0,0,0,0,0,same
36.928898301906884,0,0,0,0,0,0,same
37.19334969390184,0,0,0,0,0,0,same
37.58442124398425,0,0,0,0,0,0,same
37.99328544922173,0,0,0,0,0,0,same
38.56020918721333,0,0,0,0,0,0,same
38.85824128892273,0,0,0,0,0,0,same
39.90851737791672,0,0,0,0,0,1,None
40.30024658469483,0,0,0,0,0,1,None
40.534972578752786,0,0,0,0,0,1,None
41.44017576798797,0,0,0,0,0,1,None
42.131417462136596,0,0,0,0,0,1,None
42.564102752134204,0,0,0,0,0,1,None
42.7442951798439,0,0,0,0,0,1,None
42.88657505996525,0,0,0,0,0,1,None
43.52381266979501,0,0,0,0,0,1,None
43.68756187381223,0,0,0,0,0,1,None
43.843250796198845,0,0,0,0,0,1,None
43.965112450532615,0,0,0,0,0,1,None
44.35692581254989,0,0,0,0,0,1,None
44.47657280554995,0,0,0,0,0,1,None
